Date,TQQQ,SQQQ,SPY,UVXY,SPXL,BSV,TECL
2012-01-03,0.7466714978218079,114264.53125,104.4994125366211,652800000.0,4.974569320678711,68.2610855102539,0.9374292492866516
2012-01-04,0.7556071281433105,112727.8984375,104.66334533691406,627600000.0,4.9839630126953125,68.26950073242188,0.9496992230415344
2012-01-05,0.7742065191268921,109839.03125,104.94198608398438,598800000.0,5.041898727416992,68.25263214111328,0.9671226739883423
2012-01-06,0.7822074294090271,108732.6328125,104.6715087890625,579600000.0,5.00745153427124,68.3370590209961,0.970558226108551
2012-01-09,0.7756608724594116,109716.0703125,104.92562103271484,562200000.0,5.034852504730225,68.37081909179688,0.9693312644958496
2012-01-10,0.791559100151062,107441.859375,105.83537292480469,538800000.0,5.18125581741333,68.38766479492188,0.9811105132102966
2012-01-11,0.797066330909729,106765.7265625,105.89275360107422,554400000.0,5.203176021575928,68.3792724609375,0.9892086386680603
2012-01-12,0.8065215945243835,105290.5625,106.14681243896484,540000000.0,5.2329277992248535,68.35391998291016,0.9990248680114746
2012-01-13,0.7972737550735474,106458.3984375,105.59767150878906,568800000.0,5.166379928588867,68.34549713134766,0.9779202938079834
2012-01-17,0.8186781406402588,103876.859375,106.00747680664062,560400000.0,5.20396089553833,68.48905181884766,0.9933804869651794
2012-01-18,0.8512006998062134,99635.7265625,107.17951965332031,520800000.0,5.385593891143799,68.42993927001953,1.0468778610229492
2012-01-19,0.8682419657707214,97607.3515625,107.74504089355469,491400000.0,5.4756269454956055,68.4214859008789,1.0714178085327148
2012-01-20,0.8643975853919983,97976.15625,108.14665222167969,462600000.0,5.480324745178223,68.48058319091797,1.0834424495697021
2012-01-23,0.8642928600311279,97976.15625,107.86800384521484,438000000.0,5.490503311157227,68.48058319091797,1.0957125425338745
2012-01-24,0.8595137596130371,98467.875,107.74504089355469,441000000.0,5.485804557800293,68.48058319091797,1.099884033203125
2012-01-25,0.8923475742340088,94779.953125,108.6466293334961,404400000.0,5.6337738037109375,68.59037780761719,1.1317863464355469
2012-01-26,0.8828922510147095,95763.390625,108.08929443359375,404400000.0,5.538259506225586,68.68325805664062,1.113381266593933
2012-01-27,0.891620397567749,94902.875,108.04011535644531,387600000.0,5.541390419006348,68.58196258544922,1.1202523708343506
2012-01-30,0.8930757641792297,94657.0078125,107.6712646484375,410400000.0,5.487370014190674,68.68325805664062,1.1305593252182007
2012-01-31,0.8961929678916931,94226.75,107.63030242919922,409800000.0,5.470929145812988,68.64946746826172,1.1347310543060303
2012-02-01,0.9182208180427551,92014.0,108.57283020019531,388200000.0,5.6337738037109375,68.72137451171875,1.1700687408447266
2012-02-02,0.9276761412620544,91092.0078125,108.7449722290039,364800000.0,5.669004917144775,68.72977447509766,1.175958275794983
2012-02-03,0.9645626544952393,87404.0859375,110.2694091796875,326400000.0,5.910922527313232,68.64525604248047,1.2245475053787231
2012-02-06,0.9636279940605164,87465.5390625,110.19564819335938,318600000.0,5.9015278816223145,68.76365661621094,1.2260199785232544
2012-02-07,0.9677836298942566,86850.875,110.47431182861328,323400000.0,5.946935653686523,68.75514221191406,1.2402530908584595
2012-02-08,0.9838892817497253,85683.03125,110.80216217041016,338400000.0,5.987646102905273,68.65367889404297,1.2682288885116577
2012-02-09,1.0057096481323242,83716.1328125,110.94147491455078,372000000.0,6.016613960266113,68.56917572021484,1.303812026977539
2012-02-10,0.9842014312744141,85437.171875,110.12187194824219,435600000.0,5.884303092956543,68.62834167480469,1.27019202709198
2012-02-13,1.0106972455978394,83040.0078125,110.94147491455078,369600000.0,6.00565242767334,68.56071472167969,1.2971858978271484
2012-02-14,1.019529104232788,82425.359375,110.80216217041016,391800000.0,5.992342948913574,68.61988067626953,1.3065111637115479
2012-02-15,0.996773898601532,84269.3203125,110.28580474853516,436200000.0,5.907007694244385,68.68753814697266,1.2817257642745972
2012-02-16,1.0384405851364136,80642.859375,111.50703430175781,400800000.0,6.110562324523926,68.62834167480469,1.347002387046814
2012-02-17,1.0296087265014648,81441.90625,111.80204010009766,396000000.0,6.144227027893066,68.57757568359375,1.3381680250167847
2012-02-21,1.0383367538452148,80704.3203125,111.85125732421875,388800000.0,6.14970588684082,68.6114501953125,1.3536280393600464
2012-02-22,1.0246211290359497,81749.234375,111.49063873291016,367800000.0,6.085508823394775,68.63683319091797,1.330806016921997
2012-02-23,1.0440516471862793,80212.59375,111.98238372802734,321600000.0,6.180240154266357,68.57757568359375,1.3494563102722168
2012-02-24,1.0542339086532593,79352.0859375,112.228271484375,343800000.0,6.214687347412109,68.57757568359375,1.3688429594039917
2012-02-27,1.0593253374099731,79106.203125,112.41680908203125,349200000.0,6.242090225219727,68.5860824584961,1.374487280845642
2012-02-28,1.0910168886184692,76709.0625,112.74456024169922,341400000.0,6.292195796966553,68.66217041015625,1.4083523750305176
2012-02-29,1.0766777992248535,77692.5,112.30203247070312,329400000.0,6.182587623596191,68.66217041015625,1.3884750604629517
2012-03-01,1.1028621196746826,75725.6015625,112.88395690917969,317400000.0,6.310203552246094,68.65117645263672,1.4130150079727173
2012-03-02,1.0995373725891113,75971.46875,112.53971099853516,322200000.0,6.251485347747803,68.70198822021484,1.4068799018859863
2012-03-05,1.0652484893798828,78245.6953125,112.08074188232422,319200000.0,6.1677141189575195,68.71041870117188,1.3587818145751953
2012-03-06,1.0346999168395996,80581.390625,110.44157409667969,367800000.0,5.8756914138793945,68.70198822021484,1.3128914833068848
2012-03-07,1.0581821203231812,78798.875,111.21197509765625,332400000.0,6.009568214416504,68.7188949584961,1.3457754850387573
